id,rule,frequency
186,相声 李国盛 已故,8
187,相声 石富宽 人物二,8
188,相声 石富宽 已故,8
189,相声 笑林 人物二,8
190,相声 笑林 已故,8
191,相声 笑林 李国盛,8
192,相声 笑林 李国盛 人物二,8
193,相声 笑林 李国盛 已故,8
194,相声 赵炎 人物二,8
195,相声 赵炎 侯耀文,8
196,相声 赵炎 已故,8
197,笑林 李国盛 人物二,8
198,笑林 李国盛 已故,8
199,长子 人物二 人物一,8
